5	4	4.5614
11	4	4.4289
17	4	18.195
26	4	23.231
44	4	4.9244
50	4	11.741
59	4	7.5758
68	4	11.004
74	4	13.77
86	4	10.146
92	4	5.3679
101	4	8.8116
116	4	5.9561
140	4	14.495
149	4	16.856
161	4	18.585
170	4	32.229
176	4	8.2444
182	4	11.016
191	4	9.2698
209	4	7.4082
215	4	26.086
221	4	6.9549
227	4	6.6108
236	4	8.6936
248	4	3.5336
254	4	3.3728
272	4	17.405
281	4	5.9739
287	4	10.903
302	4	10.308
308	4	12.171
317	4	13.694
329	4	13.226
335	4	35.139
344	4	4.4522
350	4	20.913
365	4	13.008
371	4	7.8278
377	4	8.4276
398	4	11.911
404	4	6.2326
425	4	20.275
437	4	4.5544
449	4	7.4598
455	4	7.6954
467	4	20.451
482	4	17.969
