2	4	3.013
14	4	6.0821
23	4	18.038
35	4	13.162
41	4	3.8236
47	4	11.945
59	4	9.876
68	4	14.104
83	4	9.1107
89	4	11.545
98	4	13.79
104	4	7.5689
113	4	14.117
119	4	8.2622
125	4	8.763
143	4	13.547
149	4	0.086134
170	4	2.6378
179	4	15.885
185	4	11.532
197	4	16.29
203	4	11.182
221	4	4.244
230	4	15.196
239	4	14.064
251	4	12.435
257	4	9.9482
269	4	6.9259
275	4	13.964
296	4	15.735
305	4	10.656
323	4	9.758
329	4	15.21
344	4	1.0396
359	4	2.7731
365	4	13.506
389	4	7.5347
395	4	11.451
404	4	11.853
410	4	11.677
422	4	16.25
437	4	2.4119
446	4	2.3481
455	4	14.66
461	4	7.0537
470	4	10.313
476	4	18.334
482	4	8.8225
