4821,15628,0.18077,1,2,3,4,4
4822,15546,0.010058,1,2,3,4,4
4888,15802,0.014428,1,2,3,4,4
5043,12202,0.025672,1,2,NaN,4,3
5200,11801,0.05802,1,2,3,4,4
5303,16492,0.03783,1,2,NaN,NaN,2
5467,13548,0.0078713,1,2,3,4,4
5521,15832,0.0035828,1,2,3,4,4
5522,15290,0.00019697,1,2,3,4,4
5643,12938,0.012726,1,2,3,4,4
5648,15688,0.16918,NaN,2,3,NaN,2
5662,16668,0.18988,1,2,3,4,4
5709,11569,0.18698,1,2,3,NaN,3
5729,15440,0.034291,1,2,3,4,4
5772,16717,0.034342,1,2,3,4,4
5829,15852,0.067145,1,2,3,4,4
5839,13190,0.0039666,1,2,3,4,4
5856,11866,0.019891,1,2,3,4,4
5857,16239,0.037353,1,2,3,4,4
5863,12822,0.010696,1,2,NaN,NaN,2
5906,12073,0.011088,1,2,NaN,4,3
5967,16797,0.011905,1,2,3,4,4
6052,11399,0.027763,1,2,3,4,4
6054,12583,0.00060153,1,2,3,4,4
6124,16863,0.0052318,1,2,3,4,4
6133,16809,0.085858,1,2,3,4,4
6167,11419,0.010037,1,2,3,4,4
6169,11599,0.013796,1,2,3,NaN,3
6170,15444,0.021482,1,2,3,4,4
6211,12740,0.0043832,1,2,3,4,4
6233,12738,0.028674,1,2,3,4,4
6263,14343,0.012334,1,2,3,4,4
6304,16662,0.083636,1,2,3,NaN,3
6348,12285,0.046167,1,2,3,NaN,3
6376,16999,0.0076168,1,2,3,4,4
6377,11242,0.0014258,1,2,3,NaN,3
6378,11186,0.012622,1,2,3,4,4
6405,14828,0.0018566,1,2,3,4,4
6411,14805,0.040926,1,2,3,4,4
6425,12498,0.053537,1,2,3,4,4
6449,12835,0.0025955,1,2,3,4,4
6450,16973,0.028224,1,2,3,NaN,3
6479,17028,0.16577,1,2,NaN,NaN,2
6485,15630,0.052592,1,2,3,4,4
6548,17057,0.0015236,1,2,3,4,4
6549,16537,0.016523,1,2,3,4,4
6593,12913,0.045936,1,2,3,4,4
6634,13372,0.011984,1,2,3,4,4
6668,17108,0.26877,1,2,3,4,4
6686,15426,0.03867,1,2,3,4,4
6725,15311,0.00015373,1,2,3,4,4
6789,17165,0.024803,1,2,3,4,4
6832,16603,0.018767,1,2,3,4,4
6843,10410,0.036023,1,2,3,4,4
6932,17158,0.063539,1,2,3,4,4
6949,16382,0.0040681,1,2,3,4,4
6958,17256,0.1009,1,2,3,4,4
7024,15450,0.0098406,1,2,3,NaN,3
7028,17274,0.0058382,1,2,3,NaN,3
7091,17326,0.0020965,1,2,3,4,4
7114,17301,0.010549,1,2,NaN,4,3
